ligand_symbol	receptor_symbol
Fgf2	Fgfrl1
Fgf2	Nrp1
Fgf2	Sdc4
Fgf2	Vtn
Fgf3	Fgfr2
Fgf3	Fgfr4
Fgf7	Fgfr2
Fgf7	Fgfr3
Fgf7	Fgfr4
Fgf7	Nrp1
Fshb	Fshr
Fstl1	Cd14
Fstl1	Dip2a
Gcg	Gcgr
Gcg	Gipr
Gcg	Glp1r
Gcg	Glp2r
Gdf3	Acvr1b
Gdf5	Acvr1
Gdf5	Acvr2a
Gdf5	Acvr2b
Gdf5	Bmpr1a
Gdf5	Bmpr1b
Gdf5	Bmpr2
Gdf9	Acvr2a
Gdf9	Bmpr1a
Gdf9	Bmpr1b
Gdf9	Bmpr2
Gh	Ghr
Gh	Prlr
Gip	Gipr
Gnrh1	Gnrhr
Gpi1	Amfr
Cxcl1	Cxcr1
Cxcl1	Cxcr2
Cxcl1	Darc
Guca2a	Gucy2c
Hdgf	Thra
Mst1	Met
Ifng	Ifngr1
Ifng	Ifngr2
Il11	Il11ra1
Il11	Il6st
Il12b	Il12rb1
Il12b	Il12rb2
Il12b	Il23r
Il13	Il13ra1
Il13	Il13ra2
Il13	Il4ra
Il15	Gm614
Il15	Il15ra
Il15	Il17ra
Il15	Il2rb
Il15	Il2rg
Il18	Il18r1
Il18	Il18rap
Il18	Il1rl2
Il1b	Adrb2
Il1b	Il1r1
Il1b	Il1r2
Il1b	Il1rap
Il2	Gm614
Il2	Il21r
Il2	Il2ra
Il2	Il2rb
Il2	Il2rg
Il2	Ngfr
Il7	Gm614
Il7	Il2rg
Il7	Il7r
Il9	Il9r
Inhba	Acvr1b
Inhba	Acvr2a
Inhba	Acvr2b
Inhbb	Acvr1
Inhbb	Acvr1b
Inhbb	Acvr1c
Inhbb	Acvr2a
Inhbb	Acvr2b
Inhbe	Adipor1
Inhbe	Amhr2
Ins1	H2-Aa
Ins1	H2-Ea-ps
Ins1	Igf1r
Ins1	Insr
Ins1	Lrp2
Lep	Cd33
Lep	Lepr
Lhb	Lhcgr
Xcl1	Xcr1
Ltb	Ltbr
Ltb	Tnfrsf1a
Cxcl9	Ccr3
Cxcl9	Cxcr3
Cxcl9	Dpp4
Mmp12	Plaur
Mmp13	F2r
Nppa	Hnf4a
Nppa	Npr1
Nppa	Npr2
Nppa	Npr3
Nppa	Rorb
Nppb	Npr1
Nppb	Npr2
Nppb	Npr3
Nrg3	Erbb4
Nrtn	Gfra1
Nrtn	Gfra2
Nrtn	Ret
Tnfrsf11b	Vtn
Pdgfa	Pdgfra
Pgf	Flt1
Pgf	Nrp1
Pgf	Nrp2
Prl3d1	Loxl2
Plg	5033414D02Rik
Pomc	Mc1r
Pomc	Mc2r
Pomc	Mc3r
Pomc	Mc4r
Pomc	Mc5r
Pomc	Vtn
Ppy	Ppyr1
Pspn	Gfra4
Pspn	Ret
Pthlh	Btn1a1
Pthlh	Pth1r
Ptn	Alk
Ptn	Plxnb2
Ptn	Ptprs
Ptn	Ptprz1
S100b	Fgfr1
Ccl22	Ccr4
Ccl22	Dpp4
Ccl25	Ccbp2
Ccl25	Ccr10
Ccl25	Ccr9
Ccl25	Ccrl1
Ccl6	Ccr1
Cxcl2	Cxcr1
Cxcl2	Cxcr2
Cxcl2	Dpp4
Cxcl5	Cxcr1
Cxcl5	Cxcr2
Cxcl5	Darc
Cx3cl1	Cx3cr1
Sfrp2	Fzd2
Shh	Ptch1
Shh	Ptch2
Sst	Sstr1
Sst	Sstr2
Sst	Sstr3
Sst	Sstr4
Sst	Sstr5
Serpini1	Plat
Spp1	Itga5
Spp1	Itga9
Spp1	Itgav
Spp1	Itgb1
Spp1	Itgb3
Spp1	Itgb5
Spp1	Itgb6
Spp1	Vtn
Tgfb2	Tgfbr1
Tgfb2	Tgfbr2
Tgfb2	Tgfbr3
Tgfb2	Vtn
Tgfb3	Acvrl1
Tgfb3	Itgav
Tgfb3	Itgb6
Tgfb3	Tgfbr1
Tgfb3	Tgfbr2
Tg	Lrp2
Thpo	Mpl
Tnfsf8	Tnfrsf8
Tnfsf9	Tnfrsf9
Tnfsf10	Tnfrsf10b
Trh	Trhr
Tnfsf4	Tnfrsf4
Vegfc	Flt4
Vegfc	Itga9
Vegfc	Itgb1
Vegfc	Kdr
Vegfc	Nrp1
Vegfc	Nrp2
Wnt11	Fzd4
Wnt5a	Fzd1
Wnt5a	Fzd5
Wnt5a	Ror1
Wnt5a	Ror2
Wnt7a	Fzd5
Wnt7a	Fzd9
Adipoq	Adipor2
Adcyap1	Adcyap1r1
Adcyap1	Sctr
Adcyap1	Vipr1
Adcyap1	Vipr2
