"receptor" "pathway_id" "genes_in_cluster"
"Il20rb" "mmu04060" "Cxcl1,Cxcl10,Il6,Tnfrsf10b"
"Il20rb" "mmu04060" "Cxcl2,Ccl2,Ccl4,Ccl3,Ccl7,Ccl8,Ccl9,Il1b,Il17ra"
"Il20rb" "mmu04060" "Cxcl12,Osmr,Acvr1b,Il1r1"
"Il20rb" "mmu04060" "Cxcl16,Ccl5,Cxcr4,Csf2ra"
"Il20rb" "mmu04060" "Pdgfd,Vegfc,Ifngr1,Tgfbr2,Bmpr2"
"Il20rb" "mmu04060" "Tnfsf9,Il3ra,Crlf2"
"Il20rb" "mmu04630" "Il6,Jak2,Socs5,Mcl1"
"Il20rb" "mmu04630" "Il3ra,Crlf2,Socs1"
"Il20rb" "mmu04630" "Ifngr1,Stam,Sos2,Pik3r1"
"Il20rb" "mmu04630" "Lifr,Ghr,Fhl1"
"Il20rb" "mmu04630" "Jak3,Stat1,Stat2,Irf9"
"Il20rb" "mmu04630" "Cish,Ccnd3,Cdkn1a,Pias4"
"Il20rb" "mmu04630" "Socs4,Ccnd2,Ep300,Pias2,Ptpn11,Sos1,Pik3r3,Akt3"
"Alk" "mmu05223" "Kras,Pik3ca,Pik3r1,Pdpk1,Akt3,Sos1,Sos2,Braf"
"Alk" "mmu05223" "Pik3cd,Bad,Map2k2"
"Alk" "mmu05223" "Nras,Araf,Eml4"
"Lrp1" "mmu05010" "Adam10,Adam17,Casp12"
"Lrp1" "mmu05010" "App,Bace1,Ppp3ca,Apaf1,Gnaq,Plcb4,Itpr1,Atp2a2,Eif2ak3,Gsk3b"
"Lrp1" "mmu05010" "Apbb1,Ndufs8,Mapk3,Capn1"
"Lrp1" "mmu05010" "Psenen,Ndufv3,Ndufa3,Cdk5"
"Lrp1" "mmu05010" "Ndufv1,Cyc1,Atp5a1,Atp5b"
"Lrp1" "mmu05010" "Ndufv2,Ndufa9,Ndufab1,Ndufa12,Ndufb2,Ndufb8,Ndufb9,Ndufb10,Ndufs2,Ndufs3,Sdhb,Cox5b,Atp5o,Hsd17b10"
"Lrp1" "mmu05010" "Ndufa1,Cox7a1,Calml4"
"Lrp1" "mmu05010" "Ndufa2,Ndufa7,Ndufa11,Ndufa13,Ndufb7,Ndufs7,Ndufc2,Uqcr10,Cox6a1,Cox7c,Cox8a,Atp5d,Atp5e,Bad"
"Lrp1" "mmu05010" "Ndufa4,Ndufb6,Ndufs4,Sdhd,Cox7a2,Cox7b,Cycs"
"Lrp1" "mmu05010" "Ndufa5,Ndufa6,Ndufb4,Ndufb5,Ndufs6,Ndufc1,Uqcrfs1,Uqcrh,Cox4i1,Cox6c,Atp5h"
"Lrp1" "mmu05010" "Ndufa8,Sdhc,Cox5a,Cox6b1,Atp5g1,Atp5g2,Atp5g3"
"Lrp1" "mmu05010" "Ndufa10,Atp5c1,Atp5f1"
"Lrp1" "mmu05010" "Sdha,Uqcrc2,Atp5j,Calm1"
"Lrp1" "mmu05010" "Calm2,Ppp3cb,Ppp3r1,Mapk1"
"Lrp1" "mmu05144" "Sdc2,Tgfb2,Tgfb3"
"Lrp1" "mmu05144" "Myd88,Il6,Sele,Icam1"
"Lrp1" "mmu05144" "Comp,Thbs2,Thbs3"
"Lrp2" "mmu04340" "Ptch1,Smurf2,Arrb1"
"Lrp2" "mmu04340" "Prkacb,Csnk1g1,Csnk1g3,Cul1,Fbxw11,Spop"
"Lrp2" "mmu04340" "Csnk1a1,Cul3,Spopl"
"Lrp2" "mmu04340" "Csnk1e,Gsk3b,Ccnd2"
"Lrp2" "mmu04340" "Cdon,Gas1,Evc"
"Lrp2" "mmu04918" "Gnas,Adcy6,Prkacb,Gnaq,Plcb4,Creb1,Atf2,Creb3l2,Itpr1"
"Lrp2" "mmu04918" "Hspa5,Hsp90b1,Canx,Pdia4"
"Il6st" "mmu04060" "Cxcl1,Cxcl10,Il6,Tnfrsf10b"
"Il6st" "mmu04060" "Cxcl2,Ccl2,Ccl4,Ccl3,Ccl7,Ccl8,Ccl9,Il1b,Il17ra"
"Il6st" "mmu04060" "Cxcl12,Osmr,Acvr1b,Il1r1"
"Il6st" "mmu04060" "Cxcl16,Ccl5,Cxcr4,Csf2ra"
"Il6st" "mmu04060" "Pdgfd,Vegfc,Ifngr1,Tgfbr2,Bmpr2"
"Il6st" "mmu04060" "Tnfsf9,Il3ra,Crlf2"
"Il6st" "mmu04550" "Jak2,Klf4,Map2k1,Acvr2a,Skil,Rif1"
"Il6st" "mmu04550" "Jak3,Stat3,Acvr1b"
"Il6st" "mmu04550" "Map2k2,Id3,Dvl2"
"Il6st" "mmu04550" "Mapk1,Pik3r3,Akt3,Bmpr2,Smad5,Smad4,Gsk3b,Apc,Ctnnb1,Kras,Smarcad1,Kat6a,Setdb1,Pcgf3,Bmi1"
"Il6st" "mmu04550" "Acvr1,Fzd1,Fzd5"
"Il6st" "mmu04550" "Fzd7,Fzd8,Tcf3"
"Il6st" "mmu04550" "Dvl3,Igf1r,Rest"
"Il6st" "mmu04630" "Il6,Jak2,Socs5,Mcl1"
"Il6st" "mmu04630" "Il3ra,Crlf2,Socs1"
"Il6st" "mmu04630" "Ifngr1,Stam,Sos2,Pik3r1"
"Il6st" "mmu04630" "Lifr,Ghr,Fhl1"
"Il6st" "mmu04630" "Jak3,Stat1,Stat2,Irf9"
"Il6st" "mmu04630" "Cish,Ccnd3,Cdkn1a,Pias4"
"Il6st" "mmu04630" "Socs4,Ccnd2,Ep300,Pias2,Ptpn11,Sos1,Pik3r3,Akt3"
"Il6st" "mmu05203" "Kras,Mapk1,Ywhaz,Ywhaq,Pik3ca,Pik3r3,Hnrnpk,Ddx3x,Prkacb,Usp7,Gtf2h1,Rac1"
"Il6st" "mmu05203" "Mapk3,Pxn,Hdac7"
"Il6st" "mmu05203" "Creb1,Atf2,Pik3r1,Ccnd2,Dlg1,Rbl2"
"Il6st" "mmu05203" "Creb3l2,Crebbp,Ep300,Ubr4,Chd4"
"Il6st" "mmu05203" "Atf6b,Gtf2h4,Bad"
"Il6st" "mmu05203" "Ddb1,Casp3,Cdk2"
